Cidades,Geocode
porto velho,1100205.0
cruzeiro do sul,1200203.0
marechal thaumaturgo,1200351.0
porto walter,1200393.0
alvarães,1300029.0
amaturá,1300060.0
anamã,1300086.0
anori,1300102.0
autazes,1300300.0
barcelos,1300409.0
barreirinha,1300508.0
benjamin constant,1300607.0
beruri,1300631.0
boa vista do ramos,1300680.0
borba,1300805.0
caapiranga,1300839.0
canutama,1300904.0
carauari,1301001.0
careiro da várzea,1301159.0
coari,1301209.0
codajás,1301308.0
fonte boa,1301605.0
humaitá,1301704.0
ipixuna,1301803.0
iranduba,1301852.0
itacoatiara,1301902.0
itapiranga,1302009.0
japurá,1302108.0
juruá,1302207.0
jutaí,1302306.0
lábrea,1302405.0
manacapuru,1302504.0
manaquiri,1302553.0
manaus,1302603.0
manicoré,1302702.0
maraã,1302801.0
maués,1302900.0
nhamundá,1303007.0
nova olinda do norte,1303106.0
novo airão,1303205.0
novo aripuanã,1303304.0
parintins,1303403.0
santa isabel do rio negro,1303601.0
santo antônio do içá,1303700.0
são gabriel da cachoeira,1303809.0
são paulo de olivença,1303908.0
são sebastião do uatumã,1303957.0
tabatinga,1304062.0
tapauá,1304104.0
tefé,1304203.0
tonantins,1304237.0
uarini,1304260.0
urucará,1304302.0
urucurituba,1304401.0
abaetetuba,1500107.0
acará,1500206.0
afuá,1500305.0
alenquer,1500404.0
almeirim,1500503.0
altamira,1500602.0
anajás,1500701.0
aveiro,1501006.0
bagre,1501105.0
baião,1501204.0
barcarena,1501303.0
belém,1501402.0
breves,1501808.0
cachoeira do arari,1502004.0
cametá,1502103.0
chaves,1502509.0
curralinho,1502806.0
curuá,1502855.0
faro,1503002.0
gurupá,1503101.0
itaituba,1503606.0
juruti,1503903.0
limoeiro do ajuru,1504000.0
marabá,1504208.0
melgaço,1504505.0
mocajuba,1504604.0
monte alegre,1504802.0
muaná,1504901.0
óbidos,1505106.0
oeiras do pará,1505205.0
oriximiná,1505304.0
ponta de pedras,1505700.0
portel,1505809.0
porto de moz,1505908.0
prainha,1506005.0
salvaterra,1506302.0
santa cruz do arari,1506401.0
santarém,1506807.0
são sebastião da boa vista,1507706.0
senador josé porfírio,1507805.0
soure,1507904.0
terra santa,1507979.0
tucumã,1508084.0
tucuruí,1508100.0
viseu,1508308.0
vitória do xingu,1508357.0
laranjal do jari,1600279.0
macapá,1600303.0
santana,1600600.0
vitória do jari,1600808.0
itaguatins,1710706.0
